Time,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,Class,Amount
0,1,22.08,11.46,2,4,4,1.585,0,0,0,1,2,100,1213,0,9540.177914
1,0,22.67,7,2,8,4,0.165,0,0,0,0,2,160,1,0,104.9483436
2,0,29.58,1.75,1,4,4,1.25,0,0,0,1,2,280,1,0,5088.017823
6,1,17.42,6.5,2,3,4,0.125,0,0,0,0,2,60,101,0,8406.734859
8,1,27.83,1,1,2,8,3,0,0,0,0,2,176,538,0,7504.331598
9,0,55.75,7.08,2,4,8,6.75,1,1,3,1,2,100,51,0,5763.173145
12,1,20.67,1.25,1,8,8,1.375,1,1,3,1,2,140,211,0,5667.859747
14,1,58.58,2.71,2,8,4,2.415,0,0,0,1,2,320,1,0,5434.798508
18,1,20,1.25,1,4,4,0.125,0,0,0,0,2,140,5,0,176.9855759
20,0,28.17,0.585,2,6,4,0.04,0,0,0,0,2,260,1005,0,6071.089363
21,0,19.17,0.585,1,6,4,0.585,1,0,0,1,2,160,1,0,9744.843763
22,1,41.17,1.335,2,2,4,0.165,0,0,0,0,2,168,1,0,1460.239585
23,1,41.58,1.75,2,4,4,0.21,1,0,0,0,2,160,1,0,8413.825778
24,1,19.5,9.585,2,6,4,0.79,0,0,0,0,2,80,351,0,6946.890812
26,1,22.5,0.125,1,4,4,0.125,0,0,0,0,2,200,71,0,1615.978058
31,0,20.42,10.5,1,14,8,0,0,0,0,1,2,154,33,0,2960.486299
32,1,52.33,1.375,1,8,8,9.46,1,0,0,1,2,200,101,0,8273.641342
34,1,42.83,1.25,2,7,4,13.875,0,1,1,1,2,352,113,0,5151.474543
35,1,74.83,19,1,1,1,0.04,0,1,2,0,2,0,352,0,8841.917274
41,1,22.58,1.5,1,6,4,0.54,0,0,0,1,2,120,68,0,8752.344715
43,1,63.33,0.54,2,8,4,0.585,1,1,3,1,2,180,1,0,2797.4657
44,1,23.75,0.415,1,8,4,0.04,0,1,2,0,2,128,7,0,4583.291873
46,0,24.5,1.75,1,8,4,0.165,0,0,0,0,2,132,1,0,356.768449
48,0,29.5,2,1,10,8,2,0,0,0,0,2,256,18,0,5107.726078
50,1,32.33,3.5,2,4,4,0.5,0,0,0,1,2,232,1,0,7531.185159
51,1,21.08,4.125,1,3,8,0.04,0,0,0,0,2,140,101,0,2881.114739
52,1,28.17,0.125,1,4,4,0.085,0,0,0,0,2,216,2101,0,2089.723177
53,1,19,1.75,1,8,4,2.335,0,0,0,1,2,112,7,0,9203.217645
54,1,27.58,3.25,1,11,8,5.085,0,1,2,1,2,369,2,0,2969.271063
57,0,37.33,2.5,2,3,8,0.21,0,0,0,0,2,260,247,0,4064.948702
60,1,43.17,5,2,3,5,2.25,0,0,0,1,2,141,1,0,575.8583809
61,0,23.75,0.71,2,9,4,0.25,0,1,1,1,2,240,5,0,9993.40817
63,0,40.83,3.5,2,3,5,0.5,0,0,0,0,1,1160,1,0,7311.67432
66,0,19.5,0.165,2,11,4,0.04,0,0,0,1,2,380,1,0,9685.42375
67,1,21.5,11.5,2,3,4,0.5,1,0,0,1,2,100,69,0,217.1813532
68,1,31.25,2.835,2,1,1,0,0,1,5,0,2,176,147,0,2098.382725
70,1,48.75,26.335,1,1,1,0,1,0,0,1,2,0,1,0,136.6976937
71,0,30.42,1.375,2,9,8,0.04,0,1,3,0,2,0,34,0,183.2486384
72,1,29.42,1.25,2,9,4,1.75,0,0,0,0,2,200,1,0,4798.489348
75,1,36.5,4.25,2,11,4,3.5,0,0,0,0,2,454,51,0,2881.183096
76,1,25.58,0.335,2,4,8,3.5,0,0,0,1,2,340,1,0,9727.618333
77,1,29.83,3.5,2,8,4,0.165,0,0,0,0,2,216,1,0,7939.033261
78,1,23.08,0,2,4,4,1,0,1,11,0,1,0,1,0,1615.881891
81,0,35.17,3.75,2,1,1,0,0,1,6,0,2,0,201,0,382.0536475
82,0,18.58,10,2,2,4,0.415,0,0,0,0,2,80,43,0,4306.738251
83,1,39.92,5,2,3,5,0.21,0,0,0,0,2,550,1,0,8102.698503
84,1,23.42,1,2,8,4,0.5,0,0,0,1,1,280,1,0,9064.619555
86,0,24.75,13.665,2,11,8,1.5,0,0,0,0,2,280,2,0,8855.314079
89,1,22.17,0.585,1,1,1,0,0,0,0,0,2,100,1,0,6262.955516
90,1,27.75,1.29,2,4,8,0.25,0,0,0,1,1,140,1,0,9773.747838
91,1,42.75,4.085,2,6,4,0.04,0,0,0,0,2,108,101,0,2501.871618
92,1,28.67,14.5,2,2,4,0.125,0,0,0,0,2,0,287,0,8711.686373
94,0,18.17,10,1,11,8,0.165,0,0,0,0,2,340,1,0,704.5611758
96,0,38.92,1.665,2,6,4,0.25,0,0,0,0,2,0,391,0,2017.179507
97,1,31.83,0.04,1,7,4,0.04,0,0,0,0,2,0,1,0,3517.497547
98,0,17.33,9.5,2,6,4,1.75,0,1,10,1,2,0,11,0,9829.731669
100,0,39.08,4,2,8,4,3,0,0,0,0,2,480,1,0,7627.595451
104,1,19,0,1,1,1,0,0,1,4,0,2,45,2,0,997.232215
107,1,22.25,9,2,6,4,0.085,0,0,0,0,2,0,1,0,4996.272962
109,1,32.33,2.5,2,8,4,1.25,0,0,0,1,2,280,1,0,5527.337529
110,1,38.25,10.125,1,4,4,0.125,0,0,0,0,2,160,1,0,2381.030598
111,1,47.33,6.5,2,8,4,1,0,0,0,1,2,0,229,0,6399.928244
112,1,27.83,4,1,3,8,5.75,1,1,2,1,2,75,1,0,274.0931323
114,1,33.58,0.25,2,3,5,4,0,0,0,1,1,420,1,0,4744.193771
121,1,20.67,0.835,1,8,4,2,0,0,0,1,1,240,1,0,1053.11317
122,0,38.75,1.5,2,1,1,0,0,0,0,0,2,76,1,0,6457.978537
125,1,22,0.79,2,9,4,0.29,0,1,1,0,2,420,284,0,1984.072393
127,1,28.92,0.375,2,8,4,0.29,0,0,0,0,2,220,141,0,8030.04403
131,0,20.83,0.5,1,10,2,1,0,0,0,0,2,260,1,0,289.6137127
132,1,24.58,13.5,1,1,1,0,0,0,0,0,2,184,1,0,4745.692486
133,0,26.5,2.71,1,8,4,0.085,0,0,0,0,1,80,1,0,4867.937603
134,1,40.92,0.835,2,1,1,0,1,0,0,0,2,130,2,0,9976.345241
135,0,38.33,4.415,2,8,4,0.125,0,0,0,0,2,160,1,0,9055.441116
136,1,19.58,0.585,2,1,1,0,0,1,3,0,2,350,770,0,9632.556576
140,1,19.67,10,1,4,8,0.835,1,0,0,1,2,140,1,0,7283.96186
141,0,22.25,1.25,1,1,1,3.25,0,0,0,0,2,280,1,0,7097.352097
142,1,18.83,3.54,1,1,1,0,0,0,0,1,2,180,2,0,9417.637806
144,0,16.5,1.25,2,11,4,0.25,0,1,1,0,2,108,99,0,5257.957374
147,0,15.92,2.875,2,11,4,0.085,0,0,0,0,2,120,1,0,621.422864
148,1,34.83,4,2,2,5,12.5,1,0,0,1,2,184,1,0,4401.239691
151,1,45.17,1.5,2,8,4,2.5,1,0,0,1,2,140,1,0,8023.838799
152,1,15.17,7,2,10,4,1,0,0,0,0,2,600,1,0,6429.192467
153,1,18.83,0.415,1,8,4,0.165,0,1,1,0,2,200,2,0,1660.284067
157,1,37.5,0.835,2,10,4,0.04,0,0,0,0,2,120,6,0,7266.16313
159,1,47.83,4.165,2,14,5,0.085,0,0,0,1,2,520,1,0,2498.723957
160,1,34.08,2.5,2,8,4,1,0,0,0,0,2,460,17,0,5946.25915
161,0,33.08,1.625,2,2,4,0.54,0,0,0,1,2,0,1,0,8154.561156
164,1,42.75,3,2,3,5,1,1,0,0,0,2,0,201,0,8106.044908
165,1,18.25,0.165,2,2,4,0.25,0,0,0,1,1,280,1,0,749.6273286
166,1,23.08,2.5,2,1,1,0.085,0,0,0,1,2,100,4209,0,8066.678029
168,1,17.92,0.205,2,6,4,0.04,0,0,0,0,2,280,751,0,2224.500688
169,1,18.42,10.415,1,6,4,0.125,1,0,0,0,2,120,376,0,4673.858637
170,0,27.67,1.5,2,7,4,2,1,0,0,0,1,368,1,0,4875.181119
172,1,22.67,0.75,2,3,4,1.585,0,1,1,1,2,400,10,0,2572.940502
173,1,62.5,12.75,1,8,8,5,1,0,0,0,2,112,1,0,154.4033168
175,1,35.25,3.165,2,14,8,3.75,1,0,0,1,2,680,1,0,3021.665602
176,0,56.83,4.25,1,1,1,5,0,0,0,1,2,0,5,0,4256.911075
177,0,53.33,0.165,2,1,1,0,0,0,0,1,1,62,28,0,1805.276587
180,1,41.17,1.25,1,9,4,0.25,0,0,0,0,2,0,196,0,4741.076192
181,0,33.75,0.75,2,4,5,1,1,1,3,1,2,212,1,0,5426.363338
185,1,30.67,2.5,2,13,8,2.25,0,0,0,1,1,340,1,0,7012.476659
186,1,37.17,4,2,8,5,5,1,0,0,1,1,280,1,0,2854.866636
187,1,26.25,1.54,2,9,4,0.125,0,0,0,0,2,100,1,0,8869.527144
188,0,29.75,0.665,2,9,4,0.25,0,0,0,1,2,300,1,0,3776.639718
189,0,23,1.835,2,5,3,0,0,1,1,0,2,200,54,0,7816.09036
190,1,17.25,3,2,4,4,0.04,0,0,0,1,2,160,41,0,4418.727963
192,0,28.58,3.54,2,3,5,0.5,1,0,0,1,2,171,1,0,2333.048908
193,1,34.58,0,2,8,4,0,0,0,0,0,3,184,1,0,257.6330731
194,1,23.42,0.585,2,8,8,0.085,1,0,0,0,2,180,1,0,9000.703524
197,1,17.08,0.25,2,11,4,0.335,0,1,4,0,2,160,9,0,8392.107148
198,0,16.08,0.335,2,1,1,0,0,1,1,0,2,160,127,0,9496.215408
199,1,32.92,2.5,2,6,4,1.75,0,1,2,1,2,720,1,0,7903.940677
201,0,21.75,1.75,1,5,3,0,0,0,0,0,2,160,1,0,3056.250703
203,0,25.33,2.085,2,8,8,2.75,1,0,0,1,2,360,2,0,6106.366125
206,1,20.75,5.085,1,5,4,0.29,0,0,0,0,2,140,185,0,9228.652527
207,0,40.33,8.125,1,4,4,0.165,0,1,2,0,2,184,19,0,8414.292937
208,1,29.42,1.25,2,8,8,0.25,0,1,2,1,2,400,109,0,8138.819164
209,1,40.92,0.5,1,7,4,0.5,0,0,0,1,2,130,1,0,6408.621891
212,1,34,5.5,1,8,4,1.5,0,0,0,1,2,60,1,0,9998.620982
213,1,25,12,2,4,4,2.25,1,1,2,1,2,120,6,0,5419.890715
214,0,26.58,2.54,1,1,1,0,0,0,0,1,2,180,61,0,2743.414797
216,1,33.67,2.165,2,8,4,1.5,0,0,0,0,3,120,1,0,5371.5164
217,1,36.17,5.5,2,3,5,5,0,0,0,0,2,210,688,0,8428.580776
218,1,19.5,0.29,2,4,4,0.29,0,0,0,0,2,280,365,0,1923.723235
221,1,20,7,2,8,4,0.5,0,0,0,0,2,0,1,0,8762.394755
223,1,29.58,4.75,2,7,4,2,0,1,1,1,2,460,69,0,1616.514069
224,1,43.17,2.25,2,3,5,0.75,1,0,0,0,2,560,1,0,1817.39301
225,1,28.75,1.165,2,4,4,0.5,1,0,0,0,1,280,1,0,9255.064966
226,1,31.57,3,1,3,5,7,0,0,0,0,2,0,2,0,9567.866389
231,1,27.83,1.5,2,9,4,2.25,0,1,1,1,2,100,4,0,8982.443584
232,1,40.92,2.25,1,14,8,10,1,0,0,1,2,176,1,0,4095.024962
236,0,24.33,2.5,1,3,5,4.5,0,0,0,0,2,200,457,0,4545.166162
237,0,69.5,6,2,1,1,0,0,0,0,0,1,0,1,0,6448.788022
238,1,35.58,0.75,2,4,4,1.5,0,0,0,1,2,231,1,0,7848.548295
243,1,80.25,5.5,2,8,4,0.54,1,0,0,0,2,0,341,0,3107.359045
244,1,29.25,13,2,2,8,0.5,0,0,0,0,2,228,1,0,6476.188347
245,0,16.92,0.5,2,3,4,0.165,0,1,6,1,2,240,36,0,121.7010125
246,0,16,0.165,2,6,4,1,0,1,2,1,2,320,2,0,1550.161836
250,1,24.08,9,2,6,4,0.25,0,0,0,1,2,0,1,0,9452.259557
251,1,24.5,13.335,1,6,4,0.04,0,0,0,1,2,120,476,0,5898.28332
253,1,33.67,1.25,2,9,4,1.165,0,0,0,0,2,120,1,0,9429.111939
258,1,23,0.75,2,7,4,0.5,0,0,0,1,1,320,1,0,8262.747735
259,1,35,3.375,2,8,8,8.29,0,0,0,1,2,0,1,0,91.5719179
260,1,16.33,2.75,2,6,4,0.665,0,1,1,0,2,80,22,0,9214.821835
262,0,21.75,11.75,2,8,4,0.25,0,0,0,1,2,180,1,0,139.713094
265,0,28.58,3.75,2,8,4,0.25,0,1,1,1,2,40,155,0,7457.691424
266,1,22.17,12.125,2,8,4,3.335,0,1,2,1,2,180,174,0,5741.161427
268,1,35,2.5,2,3,4,1,0,0,0,1,2,210,1,0,9232.686225
269,1,28.58,3.625,2,6,4,0.25,0,0,0,1,2,100,1,0,5689.134119
270,0,19.17,5.415,2,3,8,0.29,0,0,0,0,2,80,485,0,792.9063676
272,1,16.5,0.125,2,8,4,0.165,0,0,0,0,2,132,1,0,6438.321823
275,1,34,5.085,1,3,5,1.085,0,0,0,1,2,480,1,0,4637.111659
276,0,57.08,0.335,2,3,5,1,1,0,0,1,2,252,2198,0,8501.39534
277,1,16.25,0.835,2,7,4,0.085,1,0,0,0,1,200,1,0,1367.00059
280,1,34.17,2.75,2,3,5,2.5,0,0,0,1,2,232,201,0,2793.22414
281,1,18.33,1.21,1,10,2,0,0,0,0,0,2,100,1,0,352.7541675
282,1,44.25,0.5,2,7,4,10.75,1,0,0,0,1,400,1,0,5932.432321
283,1,38.92,1.75,2,4,4,0.5,0,0,0,1,2,300,3,0,1842.55492
284,1,31.58,0.75,1,6,4,3.5,0,0,0,1,2,320,1,0,6214.584524
288,1,31.25,1.125,2,1,1,0,0,1,1,0,2,96,20,0,6547.138409
289,0,36.75,4.71,2,1,1,0,0,0,0,0,2,160,1,0,5190.773543
290,1,32.33,7.5,2,10,5,1.585,1,0,0,1,1,420,1,0,8544.16547
291,0,31.92,3.125,2,1,1,3.04,0,1,2,1,2,200,5,0,8210.211229
295,1,51.83,3,1,1,1,1.5,0,0,0,0,2,180,5,0,6391.202466
296,0,31.57,1.5,2,1,1,0,0,1,2,1,2,200,106,0,6919.212513
297,1,38.42,0.705,2,8,4,0.375,0,1,2,0,2,225,501,0,2825.341787
299,1,18.17,2.46,2,8,7,0.96,0,1,2,1,2,160,588,0,3816.877658
301,1,20,11.045,2,8,4,2,0,0,0,1,2,136,1,0,1005.422675
302,1,32.75,2.335,2,2,8,5.75,0,0,0,1,2,292,1,0,3018.442113
303,1,18.58,5.71,2,2,4,0.54,0,0,0,0,2,120,1,0,353.0189055
304,0,15.83,7.625,2,11,4,0.125,0,1,1,1,2,0,161,0,9882.775353
306,0,19.58,0.665,2,9,4,1.665,0,0,0,0,2,220,6,0,9344.786748
308,0,22.67,0.75,2,8,4,2,0,1,2,1,2,200,395,0,4606.44132
309,1,25.67,3.25,2,8,8,2.29,0,1,1,1,2,416,22,0,9945.533284
310,1,21.08,10.085,1,10,8,1.25,0,0,0,0,2,260,1,0,5877.224851
311,0,49,1.5,2,5,3,0,1,0,0,1,2,100,28,0,3442.576194
312,1,20.67,5.29,2,11,4,0.375,1,1,1,0,2,160,1,0,5833.702879
315,1,26.83,0.54,2,4,1,0,0,0,0,0,2,100,1,0,7438.00458
316,0,38.58,5,2,13,4,13.5,1,0,0,1,2,980,1,0,1042.251806
318,0,15.75,0.375,2,8,4,1,0,0,0,0,2,120,19,0,3248.976305
326,1,21.83,1.54,2,4,4,0.085,0,0,0,1,2,356,1,0,187.658467
327,0,51.92,6.5,2,3,5,3.085,0,0,0,1,2,73,1,0,9432.995086
328,1,22.17,2.25,2,3,4,0.125,0,0,0,0,2,160,11,0,2636.6919
329,1,52.42,1.5,2,2,4,3.75,0,0,0,1,2,0,351,0,9204.765076
333,1,36.17,0.42,1,9,4,0.29,0,0,0,1,2,309,3,0,4929.342297
334,0,42.25,1.75,1,8,4,0,0,0,0,1,2,150,2,0,9458.848281
335,1,23.58,0.835,2,3,8,0.085,0,0,0,1,2,220,6,0,4130.154515
337,1,39.58,5,2,1,1,0,0,1,2,0,2,17,2,0,9382.812892
339,1,27.25,0.625,2,6,4,0.455,1,0,0,1,2,200,1,0,6561.316101
340,1,32.42,3,2,2,4,0.165,0,0,0,1,2,120,1,0,738.0794593
341,1,19.42,1.5,1,13,4,2,1,0,0,1,2,100,21,0,8624.427508
349,1,31,2.085,2,8,4,0.085,0,0,0,0,2,300,1,0,6528.684497
351,1,27.42,12.5,2,6,5,0.25,0,0,0,1,2,720,1,0,9013.458911
353,1,34.08,6.5,2,6,4,0.125,1,0,0,1,2,443,1,0,4139.529111
354,1,22.08,2.335,2,4,4,0.75,0,0,0,0,2,180,1,0,3637.315291
