CustomerID,Gender,Age,Annual Income (k$),Spending Score (1-100),Number of Children,Purchase Frequency
59,,24,42.67638735,1,0,3
106,,56,122.6412526,1,4,2
155,,80,12.82600489,1,0,3
153,,56,117.6953305,2,0,3
92,,89,54.95573354,2,5,2
116,,33,72.63233123,3,2,1
180,,77,94.10418167,3,2,2
49,,81,128.6810806,3,3,1
197,,93,85.67249009,3,2,3
107,,85,22.51857183,4,1,3
63,,22,124.6627306,5,0,2
174,,32,154.354508,5,5,1
167,,63,89.48305223,5,2,3
126,,74,131.4551018,5,5,1
133,,55,136.5269046,6,2,3
82,,87,54.88111947,6,1,2
68,,60,31.80191408,8,3,1
111,,71,70.16655624,8,0,2
93,,88,18.90641236,8,1,2
64,,84,33.61213732,9,5,1
74,,59,85.76521778,10,4,3
29,,87,83.63866289,10,0,4
169,,47,163.1599744,11,2,5
129,,89,81.28807425,11,1,5
168,,63,96.80914347,12,4,2
119,,69,70.51420594,12,3,5
79,,43,17.8870923,13,1,6
188,,51,159.3289084,13,5,4
87,,54,103.6597406,13,5,1
22,,68,39.69826096,13,4,6
77,,82,50.89495413,13,2,6
151,,60,150.9198094,14,4,3
132,,66,50.92719404,14,0,1
6,,68,133.9958383,14,3,6
152,,91,14.89742944,14,3,3
35,,58,77.52170333,15,4,3
160,,18,58.63835582,17,0,3
191,,32,14.02781881,17,2,4
140,,54,166.7082205,17,0,6
27,,60,153.3323688,17,5,5
199,,54,32.91275559,19,3,4
164,,92,163.5181255,19,5,1
142,,27,11.42815247,20,2,6
136,,60,118.4827491,20,4,3
21,,81,91.68838048,20,5,1
2,,92,84.67870159,20,4,1
128,,33,65.74714296,22,2,4
37,,92,31.94434727,23,1,2
186,,24,145.1379934,24,0,1
158,,85,27.70228968,24,1,1
105,,18,139.0780141,25,0,1
47,,31,32.45542949,25,1,3
146,,47,64.69572308,25,4,2
62,,29,100.5680217,27,2,3
84,,52,102.5398591,27,5,3
55,,32,53.20331047,30,2,2
162,,55,79.53444366,30,3,4
138,,69,62.76669035,30,4,5
108,,82,47.32647237,30,3,6
194,,41,117.6253747,31,2,1
9,,40,141.1717208,32,5,1
184,,45,102.7114182,32,5,5
124,,76,129.8341903,33,5,6
102,,91,22.76679404,33,0,5
41,,86,17.95586963,34,2,6
127,,50,88.47078054,35,5,4
187,,92,121.4219278,35,5,6
60,,19,141.8269606,36,0,1
139,,43,59.11023469,36,3,5
36,,58,97.29770631,37,4,5
14,,80,136.23553,37,3,6
112,,89,149.207376,37,4,2
23,,55,67.1480613,38,4,4
5,,61,144.2347319,38,2,2
103,,46,14.91986929,39,0,1
40,,59,64.76113773,39,3,1
104,,77,31.76964763,39,1,5
34,,78,102.8994906,39,5,5
170,,41,91.94275312,40,5,4
198,,53,86.41716335,40,3,4
90,,88,35.2464217,40,5,5
113,,31,155.8950673,41,1,3
65,,34,18.17666886,41,4,5
32,,53,26.68927954,41,4,5
10,,58,89.61106071,41,0,4
154,,84,73.24235797,41,4,6
176,,23,56.75969591,42,0,1
148,,28,161.5351924,43,0,4
33,,45,61.85519838,44,3,3
17,,51,57.92369455,44,4,3
66,,51,21.40196241,44,2,4
135,,35,67.15746795,45,1,3
173,,35,12.27155292,45,4,2
52,,48,88.09028826,45,3,5
71,,63,13.35704804,45,5,5
25,,70,48.900822,45,2,2
145,,74,70.59514695,45,5,5
175,,45,152.9858762,46,2,5
118,,85,62.01123098,46,4,2
149,,53,68.70149386,47,3,4
72,,57,75.953127,47,0,6
101,,19,126.3122682,48,0,6
100,,52,16.83772608,48,3,6
163,,56,72.37085904,48,3,6
43,,78,145.3657949,48,3,3
75,,43,134.6038623,49,3,5
150,,53,102.3400555,50,3,3
94,,18,44.64831955,51,0,5
67,,28,71.75635228,51,0,5
200,,77,97.37225715,51,5,5
38,,36,42.74294016,52,5,5
181,,37,135.4654343,52,2,6
172,,38,51.57609114,53,2,3
8,,50,81.65792473,53,0,3
120,,89,96.31930225,53,0,1
18,,24,36.05672228,54,0,1
51,,30,49.47609629,54,0,2
97,,66,64.30078351,54,0,3
156,,72,66.59425115,54,2,6
13,,73,114.9761283,54,0,6
147,,86,32.70485842,54,2,4
15,,41,160.5241332,55,5,3
134,,42,56.51518907,55,3,2
182,,63,152.8025239,55,2,2
171,,82,67.76190473,56,3,6
73,,77,44.85851431,57,0,2
1,,66,97.33336525,58,4,5
125,,48,104.2545244,59,3,6
192,,21,115.3485238,61,0,6
190,,66,10.56490563,61,1,3
56,,86,16.79447548,62,4,5
57,,22,58.61787382,63,0,6
44,,62,153.7705868,63,5,5
114,,41,135.8372872,64,3,6
159,,54,138.5125321,64,1,4
28,,23,157.7259571,65,0,6
196,,68,86.38731771,67,3,6
131,,92,106.5819467,67,3,5
89,,76,70.30000546,69,5,3
98,,33,117.2339645,70,1,6
58,,67,44.2727532,70,2,5
4,,76,93.76309117,70,2,6
144,,32,130.2056343,71,4,6
42,,63,42.60621502,71,2,6
76,,69,134.4050005,71,4,4
19,,80,114.8776791,71,0,4
45,,90,48.50557861,71,1,4
95,,40,67.44647775,72,4,3
61,,87,124.5898846,72,2,6
31,,50,120.8043839,73,1,4
24,,37,144.6889445,74,4,3
88,,72,75.44241056,74,1,5
189,,34,164.5207358,75,4,5
165,,61,102.6060077,75,4,6
141,,67,36.96215145,75,5,4
85,,73,98.00549858,75,1,5
123,,24,59.82662619,76,0,4
122,,31,128.488015,76,1,3
39,,32,125.0944905,76,0,5
7,,25,64.03409869,77,0,5
53,,54,81.57647328,77,0,3
115,,87,106.0522466,77,1,5
143,,30,40.78518974,78,0,3
121,,43,157.5010699,79,1,6
12,,45,154.7134437,80,2,5
48,,58,56.46385056,80,5,5
193,,58,11.79421278,80,1,3
3,,18,66.14911626,81,0,3
110,,93,158.5876554,81,5,6
46,,50,115.8959059,82,4,4
96,,48,35.90109372,83,0,6
20,,51,63.32873857,84,4,4
83,,91,34.13867826,85,1,5
183,,24,21.61127463,86,0,3
69,,46,166.6391883,86,4,6
185,,51,83.76949406,86,3,4
109,,45,124.0458766,87,5,5
26,,23,140.2458441,88,0,6
195,,44,26.00324284,88,3,5
130,,54,104.4849167,88,4,4
99,,46,29.2199425,89,5,3
16,,41,26.61056157,90,2,5
50,,55,54.34490185,91,2,6
177,,63,148.4141117,91,1,3
80,,68,111.4695664,91,2,5
161,,26,111.6046969,92,2,4
30,,40,17.85431922,94,4,6
81,,41,14.12527853,94,1,6
91,,47,136.1049473,94,4,4
157,,29,151.6692638,95,1,6
137,,31,59.77202398,95,2,4
70,,46,11.40736644,95,3,4
78,,85,80.79800706,96,2,6
117,,67,109.001572,97,1,6
54,,85,125.7275869,97,3,6
166,,24,158.3727478,98,1,5
11,,28,12.73164925,99,1,3
179,,33,124.2022854,99,2,4
178,,67,69.28612351,99,4,6
86,,55,93.4118381,100,1,5
